continent,2015,2016,2017,2018,2019,2020,2021
Australia and New Zealand,7.285,7.3235,7.299,7.298,7.2675,7.261199951,7.23
Central and Eastern Europe,5.314535714,5.3565,5.3975,5.446678571,5.551555556,5.575928569,5.713964286
Eastern Asia,5.626166667,5.624166667,5.646666667,5.672,5.688833333,5.714849949,5.810333333
Latin America and Caribbean,6.1373,6.0505,5.9474,5.93775,5.94255,5.878065014,5.90805
Middle East and Northern Africa,5.392235294,5.464176471,5.422764706,5.325647059,5.274529412,5.35638826,5.219764706
North America,7.273,7.254,7.1545,7.107,7.085,7.085850001,7.027
Southeastern Asia,5.317444444,5.358777778,5.444875,5.313444444,5.273666667,5.383366691,5.386888889
Southern Asia,4.468833333,4.4664,4.564666667,4.524166667,4.434333333,4.355083267,4.315833333
Sub-Saharan Africa,4.15890625,4.078806452,4.12946875,4.23959375,4.36375,4.561818734,4.52359375
Western Europe,6.689619048,6.685666667,6.703714286,6.781761905,6.733619048,6.757342838,6.914904762
